what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1433112962728
started,bundle,org.eclipse.epp.usagedata.ui,1.1.1.R201001291118,"org.eclipse.epp.usagedata.ui",1433112963071
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1433112963547
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1433120838423
activated,editor,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.CompilationUnitEditor",1433120840991
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1433120850531
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1433123863448
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1433123870005
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1433123891407
activated,view,org.eclipse.ui.console,3.4.0.v20090513,"org.eclipse.ui.console.ConsoleView",1433123891422
activated,view,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.PackageExplorer",1433123894474
opened,editor,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.CompilationUnitEditor",1433123894723
activated,editor,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.CompilationUnitEditor",1433123894770
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.file.save",1433123906044
activated,editor,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.CompilationUnitEditor",1433123907772
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1433123908897
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1433123933936
activated,view,org.eclipse.ui.console,3.4.0.v20090513,"org.eclipse.ui.console.ConsoleView",1433123933951
activated,editor,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.CompilationUnitEditor",1433123972078
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.cut",1433123974018
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.delete",1433123975739
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.paste",1433123977788
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.cut",1433123988611
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.delete",1433123990540
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.paste",1433123992105
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.file.save",1433123996676
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1433124002450
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1433124006231
activated,view,org.eclipse.ui.console,3.4.0.v20090513,"org.eclipse.ui.console.ConsoleView",1433124006231
activated,editor,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.CompilationUnitEditor",1433124013359
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.file.save",1433124024737
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1433124025862
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1433124029130
activated,view,org.eclipse.ui.console,3.4.0.v20090513,"org.eclipse.ui.console.ConsoleView",1433124029130
activated,editor,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.CompilationUnitEditor",1433124306637
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.copy",1433124316080
activated,editor,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.CompilationUnitEditor",1433124318017
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.paste",1433124321611
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.file.save",1433124323533
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1433124324830
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1433124336066
activated,view,org.eclipse.ui.console,3.4.0.v20090513,"org.eclipse.ui.console.ConsoleView",1433124336081
activated,editor,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.CompilationUnitEditor",1433124339164
