what,kind,bundleId,bundleVersion,description,time
activated,view,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.PackageExplorer",1433126246587
activated,editor,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.CompilationUnitEditor",1433126250959
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1433126254296
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1433126255872
activated,editor,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.CompilationUnitEditor",1433126255918
activated,editor,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.CompilationUnitEditor",1433126257045
closed,editor,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.CompilationUnitEditor",1433126257045
activated,editor,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.CompilationUnitEditor",1433126258705
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.copy",1433126262386
activated,editor,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.CompilationUnitEditor",1433126263027
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.paste",1433126264951
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.copy",1433126270077
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.paste",1433126270967
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1433126278628
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1433126403757
activated,view,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.PackageExplorer",1433126409882
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1433126416398
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1433126421304
started,bundle,org.eclipse.emf.converter,2.5.0.v200906151043,"org.eclipse.emf.converter",1433126421398
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1433126424320
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1433126424429
activated,editor,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.CompilationUnitEditor",1433126424445
activated,view,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.PackageExplorer",1433126429023
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.file.save",1433126433507
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1433126449517
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1433126453017
activated,editor,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.CompilationUnitEditor",1433126456829
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1433126463001
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1433126484436
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1433126506115
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1433126510924
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.delete",1433126512460
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.file.save",1433126515192
activated,view,org.eclipse.ui.console,3.4.0.v20090513,"org.eclipse.ui.console.ConsoleView",1433126532530
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1433126535567
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1433127011011
activated,view,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.PackageExplorer",1433127014522
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1433127027368
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1433127071431
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.copy",1433127081539
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.copy",1433127093482
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.paste",1433127097393
opened,editor,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.CompilationUnitEditor",1433127101059
activated,editor,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.CompilationUnitEditor",1433127101125
activated,editor,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.CompilationUnitEditor",1433127122261
closed,editor,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.CompilationUnitEditor",1433127122261
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.delete",1433127130460
activated,view,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.PackageExplorer",1433127132138
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1433127135626
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1433127136959
executed,command,org.eclipse.ltk.ui.refactoring,3.4.100.v20090604,"org.eclipse.ltk.ui.refactoring.commands.deleteResources",1433127136959
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.delete",1433127136959
started,bundle,org.eclipse.wst.sse.core,1.1.402.v201001251516,"org.eclipse.wst.sse.core",1433127139027
activated,editor,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.CompilationUnitEditor",1433127142429
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.file.save",1433127144984
activated,editor,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.CompilationUnitEditor",1433127146834
closed,editor,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.CompilationUnitEditor",1433127146834
activated,view,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.PackageExplorer",1433127148077
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1433127152133
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1433202329697
opened,editor,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.CompilationUnitEditor",1433202337370
activated,editor,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.CompilationUnitEditor",1433202337433
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1433202586385
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1433202616837
activated,view,org.eclipse.ui.console,3.4.0.v20090513,"org.eclipse.ui.console.ConsoleView",1433202616837
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1433202618790
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1433202623526
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1433202631370
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1433202632776
activated,view,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.PackageExplorer",1433202854343
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1433202868320
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1433202928878
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1433203235718
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1433203656271
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1433203674094
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1433204201441
activated,editor,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.CompilationUnitEditor",1433204363615
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.delete",1433204368663
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.delete",1433204382357
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.file.save",1433204394741
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.copy",1433204399637
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.copy",1433204400615
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.paste",1433204408715
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.file.save",1433204411204
activated,editor,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.CompilationUnitEditor",1433204419751
closed,editor,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.CompilationUnitEditor",1433204419751
activated,view,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.PackageExplorer",1433204421424
opened,editor,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.CompilationUnitEditor",1433204424850
activated,editor,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.CompilationUnitEditor",1433204424913
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.delete",1433204435458
