what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1433207164399
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1433207166973
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1433207172682
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.copy",1433207261859
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.paste",1433207262968
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1433207267598
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1433207271677
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1433207279825
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1433207281275
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1433207684094
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1433207687272
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1433207688406
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1433207711181
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.delete",1433207896768
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.delete",1433207900500
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1433207949571
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1433207956601
activated,view,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.PackageExplorer",1433208098579
activated,editor,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.CompilationUnitEditor",1433208128321
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1433208131743
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1433208216111
activated,view,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.PackageExplorer",1433208231390
activated,editor,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.CompilationUnitEditor",1433208231624
opened,editor,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.CompilationUnitEditor",1433208235533
